[+      0ms] AutoHintDetectionProbe — wayfinder #45 detection spike (THROWAWAY)
[+      1ms] Logging to: C:\Users\knausj\git\Windows-Hinting\prototype\AutoHintDetectionProbe\auto-hint-detection-probe.log
[+      1ms] 
[+      1ms] Manual test checklist — open each, watch which events fire + the classify line:
[+      1ms]   v1 catalog:  Start menu · Search · Notification Center · Control Center ·
[+      1ms]                System-tray overflow · taskbar jump list (right-click a pinned app) ·
[+      1ms]                Task View · Snap Assist (Win+Z / drag-snap) ·
[+      1ms]                shell context menu (right-click desktop) · a Win11 XAML flyout
[+      1ms]   MenuOpened matrix — open a menu bar / context menu in EACH and note if UIA fires:
[+      1ms]                VS Code · GitHub Desktop · Visual Studio · File Explorer
[+      1ms]   Round 2 (COM): also watch UIA-COM Win.WindowOpened/Closed + MenuModeStart/End
[+      1ms]                — focus the problem apps (VS Code, GitHub Desktop).
[+      1ms]   Round 3: WINEVENT OBJECT_FOCUS + UIA FocusChanged — does focus-changed give a
[+      1ms]                clean focused-element signal, incl. into VS Code's in-DOM menu?
[+      1ms]   #49 redraw spike (3 SIGNALS): on attach to the REAL Start root (via
[+      1ms]                WindowOpened(name='Start')) the probe now watches THREE streams and
[+      1ms]                tags each line SC / LAYOUT / SCROLL on one shared Δ cadence clock:
[+      1ms]                  SC     = StructureChanged (tree gained/lost nodes — virtualization-bound)
[+      1ms]                  LAYOUT = LayoutInvalidated (container re-laid-out its children)
[+      1ms]                  SCROLL = ScrollPattern V/H-ScrollPercent changed (visible offset moved)
[+      1ms]                (a) open START, note first SC/LAYOUT +latency vs the WindowOpened lag (readiness);
[+      1ms]                (b) click ALL APPS + SCROLL the list (stays in the Start root) — which stream
[+      1ms]                tracks the scroll, and is its cadence (Δ gaps) clean/debounce-able or thrash? (c) tid.
[+      1ms]                NOTE: typing → results move to the SearchHost window (separate root, not
[+      1ms]                watched here). Manual override: type 'attach' / 'detach' + Enter.
[+      1ms]   Tip: type a label + Enter (e.g. 'START MENU') right before opening it to mark the log.
[+      1ms]   Ctrl+C to quit.
[+      1ms] 
[+      2ms] WinEvent hooks installed: system=True object=True focus=True
[+     64ms] UIA (managed) MenuOpened/MenuClosed handlers registered: True
[+     91ms] UIA (COM) WindowOpened/Closed + MenuModeStart/End handlers registered: True
[+    101ms] UIA (managed) FocusChanged handler registered: True
[+    101ms] ──────────────────────────────────────────────────────────────────────
[+    101ms] READY. Open a surface, or type a label + Enter to drop a MARK divider.
[+    101ms] ──────────────────────────────────────────────────────────────────────
[+  12800ms] ════════════ MARK: ALLAPPS2 ════════════
[+  15206ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15221ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15227ms] WINEVENT SYSTEM_FOREGROUND      lat=  31ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  15243ms] UIA      FocusChanged            ctl=Edit name='Search box' class='' proc=SearchHost(7044)
[+  15282ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15282ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15292ms] UIA-COM  Win.WindowOpened       ctl=Window name='Start' class='Windows.UI.Core.CoreWindow' proc=StartMenuExperienceHost(7052)
[+  15300ms] ╔═ SC ATTACHED (WindowOpened name='Start' (StartMenuExperienceHost) hwnd=0x000101B0) scope=TreeScope_Subtree → ctl=Window name='Start' class='Windows.UI.Core.CoreWindow'. Watching readiness + redraw [SC + LAYOUT:ok + SCROLL:ok]…
[+  15308ms] SC     #1   ChildAdded           +    12ms (Δ    0ms) tid=6 ctl=Window name='Search' rid.len=2
[+  15566ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  15567ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  16159ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  16239ms] SC     #2   ChildRemoved         +   944ms (Δ  932ms) tid=6 ctl=Pane name='CoreInput' rid.len=2
[+  16248ms] SC     #3   ChildRemoved         +   952ms (Δ    8ms) tid=6 ctl=Pane name='Search' rid.len=2
[+  16248ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  24699ms] SCROLL #127 V-Scroll%            +  9404ms (Δ   17ms) tid=7 val=33.30430043175311 ctl=List
[+  24716ms] SCROLL #128 V-Scroll%            +  9421ms (Δ   17ms) tid=7 val=33.136515196853786 ctl=List
[+  24733ms] SCROLL #129 V-Scroll%            +  9438ms (Δ   17ms) tid=7 val=33.05262257940412 ctl=List
[+  24749ms] SCROLL #130 V-Scroll%            +  9454ms (Δ   16ms) tid=7 val=32.884837344504795 ctl=List
[+  24766ms] SCROLL #131 V-Scroll%            +  9471ms (Δ   17ms) tid=7 val=32.80094472705513 ctl=List
[+  24866ms] SCROLL #132 V-Scroll%            +  9571ms (Δ  100ms) tid=7 val=32.71705210960547 ctl=List
[+  24991ms] SCROLL #133 V-Scroll%            +  9696ms (Δ  125ms) tid=7 val=32.633159492155805 ctl=List
[+  25024ms] SCROLL #134 V-Scroll%            +  9728ms (Δ   32ms) tid=7 val=32.54926687470615 ctl=List
[+  25085ms] SCROLL #135 V-Scroll%            +  9790ms (Δ   62ms) tid=7 val=32.465374257256485 ctl=List
[+  25150ms] SCROLL #136 V-Scroll%            +  9855ms (Δ   65ms) tid=7 val=32.38148163980683 ctl=List
[+  25215ms] SCROLL #137 V-Scroll%            +  9920ms (Δ   65ms) tid=7 val=32.297589022357165 ctl=List
[+  25264ms] SCROLL #138 V-Scroll%            +  9969ms (Δ   49ms) tid=7 val=32.2136964049075 ctl=List
[+  25277ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  25284ms] SCROLL #139 V-Scroll%            +  9989ms (Δ   20ms) tid=7 val=32.12980378745784 ctl=List
[+  25300ms] SCROLL #140 V-Scroll%            + 10005ms (Δ   16ms) tid=7 val=32.04591117000818 ctl=List
[+  25316ms] SCROLL #141 V-Scroll%            + 10021ms (Δ   16ms) tid=7 val=31.962018552558515 ctl=List
[+  25350ms] SCROLL #142 V-Scroll%            + 10055ms (Δ   34ms) tid=7 val=31.878125935108855 ctl=List
[+  25367ms] SCROLL #143 V-Scroll%            + 10071ms (Δ   16ms) tid=7 val=31.79423331765919 ctl=List
[+  25401ms] SCROLL #144 V-Scroll%            + 10106ms (Δ   35ms) tid=7 val=31.71034070020953 ctl=List
[+  25433ms] SCROLL #145 V-Scroll%            + 10138ms (Δ   32ms) tid=7 val=31.626448082759868 ctl=List
[+  25450ms] SCROLL #146 V-Scroll%            + 10155ms (Δ   17ms) tid=7 val=31.54255546531021 ctl=List
[+  25485ms] SCROLL #147 V-Scroll%            + 10190ms (Δ   35ms) tid=7 val=31.458662847860545 ctl=List
[+  25487ms] SCROLL #148 V-Scroll%            + 10192ms (Δ    2ms) tid=7 val=31.37477023041089 ctl=List
[+  25553ms] SCROLL #149 V-Scroll%            + 10258ms (Δ   66ms) tid=7 val=31.290877612961225 ctl=List
[+  25586ms] SCROLL #150 V-Scroll%            + 10291ms (Δ   33ms) tid=7 val=31.206984995511565 ctl=List
[+  25634ms] SCROLL #151 V-Scroll%            + 10339ms (Δ   48ms) tid=7 val=31.1230923780619 ctl=List
[+  25678ms] SCROLL #152 V-Scroll%            + 10383ms (Δ   44ms) tid=7 val=31.03919976061224 ctl=List
[+  25710ms] SCROLL #153 V-Scroll%            + 10415ms (Δ   32ms) tid=7 val=30.955307143162578 ctl=List
[+  25765ms] SCROLL #154 V-Scroll%            + 10469ms (Δ   54ms) tid=7 val=30.871414525712918 ctl=List
[+  25783ms] SCROLL #155 V-Scroll%            + 10488ms (Δ   19ms) tid=7 val=30.787521908263255 ctl=List
[+  25800ms] SCROLL #156 V-Scroll%            + 10505ms (Δ   17ms) tid=7 val=30.703629290813595 ctl=List
[+  25816ms] SCROLL #157 V-Scroll%            + 10521ms (Δ   16ms) tid=7 val=30.61973667336393 ctl=List
[+  25833ms] SCROLL #158 V-Scroll%            + 10538ms (Δ   17ms) tid=7 val=30.53584405591427 ctl=List
[+  25849ms] SCROLL #159 V-Scroll%            + 10554ms (Δ   16ms) tid=7 val=30.451951438464608 ctl=List
[+  25866ms] SCROLL #160 V-Scroll%            + 10571ms (Δ   17ms) tid=7 val=30.28416620356528 ctl=List
[+  25883ms] SCROLL #161 V-Scroll%            + 10588ms (Δ   17ms) tid=7 val=30.11638096866595 ctl=List
[+  25899ms] SCROLL #162 V-Scroll%            + 10604ms (Δ   16ms) tid=7 val=29.948595733766624 ctl=List
[+  25916ms] SCROLL #163 V-Scroll%            + 10621ms (Δ   17ms) tid=7 val=29.86470311631696 ctl=List
[+  25933ms] SCROLL #164 V-Scroll%            + 10638ms (Δ   17ms) tid=7 val=29.696917881417633 ctl=List
[+  25950ms] SCROLL #165 V-Scroll%            + 10654ms (Δ   16ms) tid=7 val=29.61302526396797 ctl=List
[+  25966ms] SCROLL #166 V-Scroll%            + 10671ms (Δ   17ms) tid=7 val=29.529132646518306 ctl=List
[+  25983ms] SCROLL #167 V-Scroll%            + 10688ms (Δ   17ms) tid=7 val=29.445240029068646 ctl=List
[+  26016ms] SCROLL #168 V-Scroll%            + 10721ms (Δ   33ms) tid=7 val=29.361347411618986 ctl=List
[+  26033ms] SCROLL #169 V-Scroll%            + 10738ms (Δ   17ms) tid=7 val=29.193562176719656 ctl=List
[+  26049ms] SCROLL #170 V-Scroll%            + 10754ms (Δ   16ms) tid=7 val=29.109669559269992 ctl=List
[+  26066ms] SCROLL #171 V-Scroll%            + 10771ms (Δ   17ms) tid=7 val=29.025776941820332 ctl=List
[+  26082ms] SCROLL #172 V-Scroll%            + 10787ms (Δ   16ms) tid=7 val=28.857991706921002 ctl=List
[+  26100ms] SCROLL #173 V-Scroll%            + 10805ms (Δ   18ms) tid=7 val=28.774099089471342 ctl=List
[+  26116ms] SCROLL #174 V-Scroll%            + 10821ms (Δ   16ms) tid=7 val=28.69020647202168 ctl=List
[+  26133ms] SCROLL #175 V-Scroll%            + 10838ms (Δ   17ms) tid=7 val=28.60631385457202 ctl=List
[+  26149ms] SCROLL #176 V-Scroll%            + 10854ms (Δ   16ms) tid=7 val=28.522421237122355 ctl=List
[+  26166ms] SCROLL #177 V-Scroll%            + 10871ms (Δ   17ms) tid=7 val=28.438528619672695 ctl=List
[+  26183ms] SCROLL #178 V-Scroll%            + 10888ms (Δ   17ms) tid=7 val=28.35463600222303 ctl=List
[+  26200ms] SCROLL #179 V-Scroll%            + 10905ms (Δ   17ms) tid=7 val=28.270743384773372 ctl=List
[+  26216ms] SCROLL #180 V-Scroll%            + 10921ms (Δ   16ms) tid=7 val=28.18685076732371 ctl=List
[+  26250ms] SCROLL #181 V-Scroll%            + 10954ms (Δ   33ms) tid=7 val=28.10295814987405 ctl=List
[+  26282ms] SCROLL #182 V-Scroll%            + 10987ms (Δ   33ms) tid=7 val=28.019065532424385 ctl=List
[+  26317ms] SCROLL #183 V-Scroll%            + 11021ms (Δ   34ms) tid=7 val=27.935172914974725 ctl=List
[+  26333ms] SCROLL #184 V-Scroll%            + 11038ms (Δ   17ms) tid=7 val=27.85128029752506 ctl=List
[+  26349ms] SCROLL #185 V-Scroll%            + 11054ms (Δ   16ms) tid=7 val=27.7673876800754 ctl=List
[+  26366ms] SCROLL #186 V-Scroll%            + 11071ms (Δ   17ms) tid=7 val=27.59960244517607 ctl=List
[+  26400ms] SCROLL #187 V-Scroll%            + 11105ms (Δ   34ms) tid=7 val=27.51570982772641 ctl=List
[+  26417ms] SCROLL #188 V-Scroll%            + 11122ms (Δ   17ms) tid=7 val=27.431817210276748 ctl=List
[+  26433ms] SCROLL #189 V-Scroll%            + 11138ms (Δ   16ms) tid=7 val=27.34792459282709 ctl=List
[+  26449ms] SCROLL #190 V-Scroll%            + 11154ms (Δ   16ms) tid=7 val=27.264031975377428 ctl=List
[+  26466ms] SCROLL #191 V-Scroll%            + 11171ms (Δ   17ms) tid=7 val=27.180139357927768 ctl=List
[+  26484ms] SCROLL #192 V-Scroll%            + 11189ms (Δ   18ms) tid=7 val=27.096246740478104 ctl=List
[+  26499ms] SCROLL #193 V-Scroll%            + 11204ms (Δ   15ms) tid=7 val=27.012354123028445 ctl=List
[+  26516ms] SCROLL #194 V-Scroll%            + 11221ms (Δ   17ms) tid=7 val=26.92846150557878 ctl=List
[+  26533ms] SCROLL #195 V-Scroll%            + 11237ms (Δ   16ms) tid=7 val=26.84456888812912 ctl=List
[+  26549ms] SCROLL #196 V-Scroll%            + 11254ms (Δ   17ms) tid=7 val=26.760676270679458 ctl=List
[+  26566ms] SCROLL #197 V-Scroll%            + 11271ms (Δ   17ms) tid=7 val=26.676783653229798 ctl=List
[+  26583ms] SCROLL #198 V-Scroll%            + 11288ms (Δ   17ms) tid=7 val=26.592891035780134 ctl=List
[+  26616ms] SCROLL #199 V-Scroll%            + 11321ms (Δ   33ms) tid=7 val=26.34121318343114 ctl=List
[+  26633ms] SCROLL #200 V-Scroll%            + 11338ms (Δ   17ms) tid=7 val=26.17342794853181 ctl=List
[+  26652ms] SCROLL #201 V-Scroll%            + 11357ms (Δ   19ms) tid=7 val=26.089535331082146 ctl=List
[+  26666ms] SCROLL #202 V-Scroll%            + 11371ms (Δ   14ms) tid=7 val=26.005642713632483 ctl=List
[+  26683ms] SCROLL #203 V-Scroll%            + 11388ms (Δ   17ms) tid=7 val=25.837857478733152 ctl=List
[+  26700ms] SCROLL #204 V-Scroll%            + 11404ms (Δ   16ms) tid=7 val=25.75396486128349 ctl=List
[+  26716ms] SCROLL #205 V-Scroll%            + 11421ms (Δ   17ms) tid=7 val=25.670072243833822 ctl=List
[+  26732ms] SCROLL #206 V-Scroll%            + 11437ms (Δ   16ms) tid=7 val=25.58617962638416 ctl=List
[+  26749ms] SCROLL #207 V-Scroll%            + 11454ms (Δ   17ms) tid=7 val=25.41839439148483 ctl=List
[+  26766ms] SCROLL #208 V-Scroll%            + 11471ms (Δ   17ms) tid=7 val=25.2506091565855 ctl=List
[+  26783ms] SCROLL #209 V-Scroll%            + 11487ms (Δ   16ms) tid=7 val=25.166716539135837 ctl=List
[+  26799ms] SCROLL #210 V-Scroll%            + 11504ms (Δ   17ms) tid=7 val=24.998931304236503 ctl=List
[+  26816ms] SCROLL #211 V-Scroll%            + 11521ms (Δ   17ms) tid=7 val=24.74725345188751 ctl=List
[+  26833ms] SCROLL #212 V-Scroll%            + 11537ms (Δ   16ms) tid=7 val=24.663360834437846 ctl=List
[+  26849ms] SCROLL #213 V-Scroll%            + 11554ms (Δ   17ms) tid=7 val=24.579468216988182 ctl=List
[+  26866ms] SCROLL #214 V-Scroll%            + 11571ms (Δ   17ms) tid=7 val=24.49557559953852 ctl=List
[+  26885ms] SCROLL #215 V-Scroll%            + 11590ms (Δ   19ms) tid=7 val=24.411682982088852 ctl=List
[+  26934ms] SCROLL #216 V-Scroll%            + 11639ms (Δ   49ms) tid=7 val=24.32779036463919 ctl=List
[+  26950ms] SCROLL #217 V-Scroll%            + 11655ms (Δ   16ms) tid=7 val=24.243897747189525 ctl=List
[+  26967ms] SCROLL #218 V-Scroll%            + 11672ms (Δ   17ms) tid=7 val=24.160005129739858 ctl=List
[+  26983ms] SCROLL #219 V-Scroll%            + 11688ms (Δ   16ms) tid=7 val=24.076112512290194 ctl=List
[+  27016ms] SCROLL #220 V-Scroll%            + 11721ms (Δ   33ms) tid=7 val=23.99221989484053 ctl=List
[+  27033ms] SCROLL #221 V-Scroll%            + 11738ms (Δ   17ms) tid=7 val=23.908327277390867 ctl=List
[+  27050ms] SCROLL #222 V-Scroll%            + 11754ms (Δ   16ms) tid=7 val=23.8244346599412 ctl=List
[+  27066ms] SCROLL #223 V-Scroll%            + 11771ms (Δ   17ms) tid=7 val=23.740542042491537 ctl=List
[+  27099ms] SCROLL #224 V-Scroll%            + 11804ms (Δ   33ms) tid=7 val=23.656649425041874 ctl=List
[+  27116ms] SCROLL #225 V-Scroll%            + 11821ms (Δ   17ms) tid=7 val=23.572756807592206 ctl=List
[+  27133ms] SCROLL #226 V-Scroll%            + 11838ms (Δ   17ms) tid=7 val=23.488864190142543 ctl=List
[+  27150ms] SCROLL #227 V-Scroll%            + 11855ms (Δ   17ms) tid=7 val=23.40497157269288 ctl=List
[+  27388ms] SC     #12  ChildAdded           + 12092ms (Δ  237ms) tid=7 ctl=50006 name='' rid.len=0
[+  27390ms] SC     #13  ChildRemoved         + 12094ms (Δ    2ms) tid=7 ctl=Button name='Search for apps, settings, and…' rid.len=1
[+  27391ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  27395ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  27400ms] WINEVENT OBJECT_FOCUS           lat=  32ms hwnd=0x000101BE class='Windows.UI.Core.CoreWindow' title='Search' proc=SearchHost(7044)
            focus: ctl=Edit name='Search box' | parent: ctl=Window name='Search'
            → classify: START_MENU / SEARCH (strategy: active-window[-parent])
[+  27401ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  27406ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  27407ms] UIA      FocusChanged            ctl=Edit name='Search box' class='' proc=SearchHost(7044)
[+  29479ms] SC     #14  ChildRemoved         + 14183ms (Δ 2089ms) tid=7 ctl=Button name='Vertical Small Decrease' rid.len=1
[+  29484ms] SC     #15  ChildRemoved         + 14188ms (Δ    5ms) tid=7 ctl=50014 name='Vertical' rid.len=1
[+  29488ms] SC     #16  ChildRemoved         + 14192ms (Δ    4ms) tid=7 ctl=50014 name='Vertical' rid.len=1
[+  29491ms] SC     #17  ChildRemoved         + 14195ms (Δ    3ms) tid=7 ctl=50014 name='Vertical' rid.len=1
[+  29495ms] SC     #18  ChildRemoved         + 14199ms (Δ    4ms) tid=7 ctl=50014 name='Vertical' rid.len=1
[+  29499ms] SC     #19  ChildRemoved         + 14203ms (Δ    4ms) tid=7 ctl=50014 name='Vertical' rid.len=1
[+  29501ms] SC     #20  ChildRemoved         + 14206ms (Δ    3ms) tid=7 ctl=Button name='Vertical Small Increase' rid.len=1
[+  32534ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  33625ms] SC     #21  ChildAdded           + 18329ms (Δ 4123ms) tid=7 ctl=50014 name='Vertical' rid.len=0
[+  34349ms] WINEVENT SYSTEM_FOREGROUND      lat=   0ms hwnd=0x000101B0 class='Windows.UI.Core.CoreWindow' title='Start' proc=StartMenuExperienceHost(7052)
            focus: ctl=ListItem name='Accessibility folder, Collapse…' | parent: ctl=Group name='A'
            → classify: CoreWindow (AMBIGUOUS — needs Start/Search/NotifCenter disambiguation)
[+  34352ms] WINEVENT OBJECT_FOCUS           lat=  16ms hwnd=0x000101B0 class='Windows.UI.Core.CoreWindow' title='Start' proc=StartMenuExperienceHost(7052)
            focus: ctl=ListItem name='Accessibility folder, Collapse…' | parent: ctl=Group name='A'
            → classify: CoreWindow (AMBIGUOUS — needs Start/Search/NotifCenter disambiguation)
[+  34357ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  34358ms] WINEVENT OBJECT_FOCUS           lat=  16ms hwnd=0x000101B0 class='Windows.UI.Core.CoreWindow' title='Start' proc=StartMenuExperienceHost(7052)
            focus: ctl=ListItem name='Accessibility folder, Collapse…' | parent: ctl=Group name='A'
            → classify: CoreWindow (AMBIGUOUS — needs Start/Search/NotifCenter disambiguation)
[+  34360ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  34363ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  34367ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  34368ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  34371ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  34416ms] SCROLL #228 V-Scroll%            + 19121ms (Δ  792ms) tid=7 val=23.488864190142543 ctl=List
[+  34420ms] UIA      FocusChanged            ctl=ListItem name='Accessibility folder, Collapse…' class='' proc=StartMenuExperienceHost(7052)
[+  34435ms] SCROLL #229 V-Scroll%            + 19140ms (Δ   19ms) tid=7 val=23.572756807592206 ctl=List
[+  34435ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  34436ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  34436ms] UIA-COM  Win.WindowClosed       ctl=? name='?' class='?' proc=?
[+  34449ms] SCROLL #230 V-Scroll%            + 19154ms (Δ   14ms) tid=7 val=23.8244346599412 ctl=List
[+  34466ms] SCROLL #231 V-Scroll%            + 19171ms (Δ   17ms) tid=7 val=24.076112512290194 ctl=List
[+  34484ms] SCROLL #232 V-Scroll%            + 19189ms (Δ   18ms) tid=7 val=24.831146069337176 ctl=List
[+  34499ms] SCROLL #233 V-Scroll%            + 19204ms (Δ   15ms) tid=7 val=26.173427948531806 ctl=List
[+  34516ms] SCROLL #234 V-Scroll%            + 19221ms (Δ   17ms) tid=7 val=27.683495062625767 ctl=List
[+  34522ms] SC     #22  ChildAdded           + 19227ms (Δ    6ms) tid=7 ctl=50006 name='' rid.len=0
[+  34524ms] SC     #23  ChildRemoved         + 19229ms (Δ    2ms) tid=7 ctl=Button name='Search for apps, settings, and…' rid.len=1
[+  34533ms] SCROLL #235 V-Scroll%            + 19237ms (Δ    8ms) tid=7 val=29.445240029068717 ctl=List
[+  34550ms] SCROLL #236 V-Scroll%            + 19254ms (Δ   17ms) tid=7 val=31.458662847860662 ctl=List
[+  34566ms] SCROLL #237 V-Scroll%            + 19271ms (Δ   17ms) tid=7 val=34.73047492839758 ctl=List
[+  34583ms] SCROLL #238 V-Scroll%            + 19287ms (Δ   16ms) tid=7 val=37.918394391484824 ctl=List
[+  34599ms] SCROLL #239 V-Scroll%            + 19304ms (Δ   17ms) tid=7 val=40.26738768007543 ctl=List
[+  34616ms] SCROLL #240 V-Scroll%            + 19320ms (Δ   16ms) tid=7 val=43.53919976061235 ctl=List
[+  34632ms] SCROLL #241 V-Scroll%            + 19337ms (Δ   17ms) tid=7 val=45.21705210960564 ctl=List
[+  34649ms] SCROLL #242 V-Scroll%            + 19354ms (Δ   17ms) tid=7 val=46.978797076048586 ctl=List
[+  34666ms] SCROLL #243 V-Scroll%            + 19371ms (Δ   17ms) tid=7 val=48.824434659941204 ctl=List
[+  34683ms] SCROLL #244 V-Scroll%            + 19388ms (Δ   17ms) tid=7 val=50.16671653913584 ctl=List
[+  34699ms] SCROLL #245 V-Scroll%            + 19404ms (Δ   16ms) tid=7 val=51.4251058008808 ctl=List
[+  34716ms] SCROLL #246 V-Scroll%            + 19421ms (Δ   17ms) tid=7 val=52.34792459282711 ctl=List
[+  34733ms] SCROLL #247 V-Scroll%            + 19438ms (Δ   17ms) tid=7 val=53.43852861967276 ctl=List
[+  34749ms] SCROLL #248 V-Scroll%            + 19454ms (Δ   16ms) tid=7 val=54.19356217671974 ctl=List
[+  34766ms] SCROLL #249 V-Scroll%            + 19471ms (Δ   17ms) tid=7 val=55.03248835121637 ctl=List
[+  34783ms] SCROLL #250 V-Scroll%            + 19488ms (Δ   17ms) tid=7 val=56.20698499551167 ctl=List
[+  34800ms] SCROLL #251 V-Scroll%            + 19505ms (Δ   17ms) tid=7 val=57.213696404907644 ctl=List
[+  34816ms] SCROLL #252 V-Scroll%            + 19521ms (Δ   16ms) tid=7 val=58.555978284102274 ctl=List
[+  34832ms] SCROLL #253 V-Scroll%            + 19537ms (Δ   16ms) tid=7 val=59.14322660624993 ctl=List
[+  34849ms] SCROLL #254 V-Scroll%            + 19554ms (Δ   17ms) tid=7 val=59.39490445859893 ctl=List
[+  34866ms] SCROLL #255 V-Scroll%            + 19571ms (Δ   17ms) tid=7 val=59.98215278074658 ctl=List
[+  34883ms] SCROLL #256 V-Scroll%            + 19588ms (Δ   17ms) tid=7 val=60.653293720343896 ctl=List
[+  34899ms] SCROLL #257 V-Scroll%            + 19604ms (Δ   16ms) tid=7 val=61.66000512973987 ctl=List
[+  34916ms] SCROLL #258 V-Scroll%            + 19621ms (Δ   17ms) tid=7 val=63.0022870089345 ctl=List
[+  34933ms] SCROLL #259 V-Scroll%            + 19638ms (Δ   17ms) tid=7 val=64.4284615055788 ctl=List
[+  34950ms] SCROLL #260 V-Scroll%            + 19655ms (Δ   17ms) tid=7 val=66.86134741161906 ctl=List
[+  34966ms] SCROLL #261 V-Scroll%            + 19671ms (Δ   16ms) tid=7 val=69.04255546531033 ctl=List
[+  34983ms] SCROLL #262 V-Scroll%            + 19688ms (Δ   17ms) tid=7 val=71.89490445859893 ctl=List
[+  35000ms] SCROLL #263 V-Scroll%            + 19704ms (Δ   16ms) tid=7 val=74.49557559953851 ctl=List
[+  35016ms] SCROLL #264 V-Scroll%            + 19721ms (Δ   17ms) tid=7 val=78.7740990894714 ctl=List
[+  35033ms] SCROLL #265 V-Scroll%            + 19738ms (Δ   17ms) tid=7 val=81.20698499551166 ctl=List
[+  35049ms] SCROLL #266 V-Scroll%            + 19754ms (Δ   16ms) tid=7 val=82.96872996195462 ctl=List
[+  35066ms] SCROLL #267 V-Scroll%            + 19771ms (Δ   17ms) tid=7 val=83.63987090155194 ctl=List
[+  35083ms] SCROLL #268 V-Scroll%            + 19788ms (Δ   17ms) tid=7 val=83.7237635190016 ctl=List
[+  35270ms] SCROLL #269 V-Scroll%            + 19974ms (Δ  186ms) tid=7 val=83.80765613645126 ctl=List
[+  35281ms] SCROLL #270 V-Scroll%            + 19986ms (Δ   12ms) tid=7 val=83.89154875390092 ctl=List
[+  35301ms] SCROLL #271 V-Scroll%            + 20005ms (Δ   19ms) tid=7 val=85.5694011028942 ctl=List
[+  35317ms] SCROLL #272 V-Scroll%            + 20022ms (Δ   17ms) tid=7 val=87.49893130423649 ctl=List
[+  35334ms] SCROLL #273 V-Scroll%            + 20038ms (Δ   16ms) tid=7 val=89.93181721027678 ctl=List
[+  35350ms] SCROLL #274 V-Scroll%            + 20055ms (Δ   17ms) tid=7 val=92.4485957337667 ctl=List
[+  35373ms] SCROLL #275 V-Scroll%            + 20077ms (Δ   22ms) tid=7 val=94.88148163980696 ctl=List
[+  35375ms] SC     #24  ChildAdded           + 20079ms (Δ    2ms) tid=7 ctl=ListItem name='Accessibility folder, Collapse…' rid.len=0
[+  35378ms] SC     #25  ChildRemoved         + 20082ms (Δ    3ms) tid=7 ctl=Group name='A' rid.len=1
[+  35380ms] SC     #26  ChildRemoved         + 20084ms (Δ    2ms) tid=7 ctl=Group name='A' rid.len=1
